file_name,path,subject,real_age,predicted,spread,detected,face_frac,padded
001A02.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A02.JPG,1,2,2.0,2.0,True,0.5118306279182434,False
001A05.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A05.JPG,1,5,8.0,2.0,True,0.6400712728500366,False
001A08.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A08.JPG,1,8,12.0,8.0,True,0.5989680290222168,False
001A10.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A10.JPG,1,10,20.0,6.0,True,0.5598706603050232,False
001A14.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A14.JPG,1,14,22.0,9.0,True,0.6113618612289429,False
001A16.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A16.JPG,1,16,21.0,8.0,True,0.656862199306488,False
001A18.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A18.JPG,1,18,45.0,21.0,True,0.7002863883972168,False
001A19.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A19.JPG,1,19,26.0,4.0,True,0.705737829208374,True
001A22.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A22.JPG,1,22,36.0,11.0,True,0.5948525071144104,False
001A28.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A28.JPG,1,28,30.0,10.0,True,0.68063884973526,False
001A29.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A29.JPG,1,29,36.0,8.0,True,0.7717576026916504,True
001A33.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A33.JPG,1,33,39.0,19.0,True,0.7668665051460266,True
001A40.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A40.JPG,1,40,43.0,15.0,True,0.6915929317474365,False
001A43a.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A43a.JPG,1,43,50.0,13.0,True,0.7555139064788818,False
001A43b.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/001A43b.JPG,1,43,48.0,15.0,True,0.7290067672729492,False
002A03.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A03.JPG,2,3,8.0,1.0,True,0.6236105561256409,False
002A04.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A04.JPG,2,4,8.0,1.0,True,0.7195083498954773,False
002A05.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A05.JPG,2,5,8.0,0.0,True,0.6365890502929688,False
002A07.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A07.JPG,2,7,8.0,6.0,True,0.7058626413345337,False
002A12.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A12.JPG,2,12,21.0,11.0,True,0.6916812062263489,True
002A15.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A15.JPG,2,15,21.0,4.0,True,0.6428781151771545,False
002A16.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A16.JPG,2,16,17.0,8.0,True,0.787744402885437,False
002A18.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A18.JPG,2,18,17.0,2.0,True,0.7594495415687561,False
002A20.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A20.JPG,2,20,25.0,12.0,True,0.6904472708702087,False
002A21.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A21.JPG,2,21,27.0,7.0,True,0.7261724472045898,False
002A23.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A23.JPG,2,23,21.0,12.0,True,0.7751137614250183,True
002A26.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A26.JPG,2,26,31.0,9.0,True,0.6764199733734131,False
002A29.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A29.JPG,2,29,29.0,13.0,True,0.7219834327697754,False
002A31.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A31.JPG,2,31,25.0,11.0,True,0.6902960538864136,False
002A36.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A36.JPG,2,36,21.0,12.0,True,0.6731821894645691,False
002A38.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/002A38.JPG,2,38,35.0,34.0,True,0.7335831522941589,False
003A18.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/003A18.JPG,3,18,24.0,6.0,True,0.7198166251182556,False
003A20.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/003A20.JPG,3,20,28.0,10.0,True,0.6574679017066956,False
003A23.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/003A23.JPG,3,23,29.0,4.0,True,0.6621518135070801,False
003A25.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/003A25.JPG,3,25,26.0,8.0,True,0.6528838276863098,False
003A35.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/003A35.JPG,3,35,37.0,13.0,True,0.7391406297683716,False
003A38.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/003A38.JPG,3,38,40.0,13.0,True,0.6224579215049744,False
003A47.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/003A47.JPG,3,47,54.0,4.0,True,0.7114174365997314,False
003A49.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/003A49.JPG,3,49,34.0,9.0,True,0.687364399433136,False
003A51.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/003A51.JPG,3,51,56.0,10.0,True,0.6933302283287048,False
003A58.JPG,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/fgnet_raw/FGNET/images/003A58.JPG,3,58,62.0,14.0,True,0.6621832847595215,False
