file_name,path,real_age,apparent_age,predicted,spread,detected,face_frac,padded,split
000000.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000000.jpg,4,5.0,7.0,3.0,True,0.38014206290245056,False,train
000001.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000001.jpg,18,20.0793650793651,26.0,11.0,True,0.5067780017852783,False,train
000002.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000002.jpg,80,76.8157894736842,83.0,11.0,True,0.4779064357280731,False,train
000003.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000003.jpg,50,55.6578947368421,65.0,20.0,True,0.7503990530967712,False,train
000004.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000004.jpg,17,17.6666666666667,18.0,2.0,True,0.3948565721511841,False,train
000005.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000005.jpg,27,21.0714285714286,26.0,6.0,True,0.3293183445930481,False,train
000006.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000006.jpg,24,26.9487179487179,27.0,4.0,True,0.7948718667030334,False,train
000007.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000007.jpg,43,39.0,27.0,16.0,True,0.48512279987335205,False,train
000008.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000008.jpg,26,26.9090909090909,28.0,9.0,True,0.4609616696834564,False,train
000009.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000009.jpg,39,35.4604316546763,20.0,38.0,True,0.44466209411621094,False,train
000010.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000010.jpg,17,18.2258064516129,15.0,1.0,True,0.46590083837509155,False,train
000011.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000011.jpg,51,43.6666666666667,56.0,7.0,True,0.44382497668266296,False,train
000012.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000012.jpg,2,2.41025641025641,12.0,8.0,True,0.5211291313171387,False,train
000013.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000013.jpg,1,1.1025641025641,3.0,3.0,True,0.29930758476257324,False,train
000014.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000014.jpg,6,6.47368421052632,5.0,2.0,True,0.16411592066287994,False,train
000015.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000015.jpg,18,21.3846153846154,18.0,4.0,True,0.416733056306839,False,train
000016.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000016.jpg,24,24.3478260869565,90.0,0.0,False,0.0,False,train
000017.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000017.jpg,5,6.21052631578947,7.0,4.0,True,0.19806329905986786,False,train
000018.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000018.jpg,40,40.6666666666667,53.0,46.0,True,0.5798625349998474,False,train
000019.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000019.jpg,16,17.6315789473684,42.0,16.0,True,0.41631749272346497,False,train
000020.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000020.jpg,29,34.0,28.0,9.0,True,0.14575816690921783,False,train
000021.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000021.jpg,1,1.0,3.0,1.0,True,0.28544628620147705,False,train
000022.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000022.jpg,35,42.9230769230769,53.0,10.0,True,0.22242487967014313,False,train
000023.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000023.jpg,25,26.0789473684211,34.0,7.0,True,0.4130658805370331,False,train
000024.jpg,/Users/horganm0/.copilot/repos/copilot-worktrees/age-estimator/horganm0-risk-cautious-journey/data/appa-real-release/train/000024.jpg,5,4.40540540540541,4.0,2.0,True,0.2457365095615387,False,train
